GROUP,INDICATOR,SHORTNAME,APPCOL
New Programming Measures - Totals,Number of Synchronous In-Person Offsite Program Sessions,OFFPRO,1
New Programming Measures - Totals,Number of Synchronous Virtual Program Sessions,VIRPRO,1
New Programming Measures - Totals,Attendance at Synchronous Programs Targeted at Children Ages 0-5,K0_5ATTEN,1
New Programming Measures - Totals,Attendance at Synchronous Programs Targeted at Children Ages 6-11,K6_11ATTEN,1
New Programming Measures - Totals,Attendance at Synchronous Programs Targeted at Adults Age 19 or Older,ADULTATTEN,1
New Programming Measures - Totals,Attendance at Synchronous General Interest Programs,GENATTEN,1
New Programming Measures - Totals,Synchronous In-Person Onsite Program Attendance,ONATTEN,1
New Programming Measures - Totals,Synchronous In-Person Offsite Program Attendance,OFFATTEN,1
New Programming Measures - Totals,Synchronous Virtual Program Attendance,VIRATTEN,1
New Programming Measures - Totals,Total Number of Asynchronous Program Presentations,TOTPRES,1
New Programming Measures - Totals,Total Views of Asynchronous Program Presentations within 30 Days,TOTVIEWS,1
Internet Access,Number of Internet Computers for the General Public,GPTERMS,1
Internet Access,Number of Uses (sessions) of Public Internet Computers,PITUSR,1
Internet Access,Reporting Method for Number of Uses of Public Internet Computers Per Year,PITUSRRPT,1
Internet Access,Number of Times (sessions) Patrons Used the Wireless Network,WIFISESS,1
Internet Access,Reporting Method for Wireless Sessions,WIFISRPT,1
Internet Access,Public Wi-Fi Network Availability Hours,WIFI_HOURS,
Internet Access,Guest Wi-Fi Network SSID,WIFI_SSID,
Internet Access,Total Number of Hotspots Available for Circulation,HOTSPOT,1
Internet Access,Hotspot Circulation for Reporting Period,HOTSPOT_CIRC,1
Internet Access,Library IP Address or IP Address Range,IP_ADDRESS,
Outlet Data,WebPLUS Identification number,FSCSKEY_OUT,
Outlet Data,Unique ID suffix assigned by WebPLUS,FSCS_SEQ,
Outlet Data,State assigned identification number,LIBID_OUT,
Outlet Data,Legal Name,LIBNAME_OUT,
Outlet Address,Physical Street Address,ADDRESS_OUT,
Outlet Address,City,CITY_OUT,
Outlet Address,ZIP Code,ZIP_OUT,
Outlet Address,ZIP+4 Code,ZIP4_OUT,
Outlet Address,County,CNTY_OUT,
Outlet Information,Phone,PHONE_OUT,
Outlet Information,Outlet Type Code,C_OUT_TY,
Outlet Information,Metropolitan Status Code,C_MSA,
Outlet Square Feet And Bookmobiles,Area in Square Feet of outlet,SQ_FEET,
Outlet Square Feet And Bookmobiles,Number of Bookmobiles,L_NUM_BM,
Outlet Hours,Public Service Hours Per Year,HOURS,
Outlet Hours,Number of Weeks Open,WKS_OPEN,
Outlet Hours,Number of Weeks an Outlet Closed Due to COVID-19,C19WKSCL,
Outlet Hours,Number of Weeks an Outlet Had Limited Occupancy Due to COVID-19,C19WKSLO,
Kpis,Audio Materials - Total,AUDIO_TOT,
Kpis,Video Materials - Total,VID_TOT,
Retired Questions,Public Service Hours Per Year (all outlets),HRS_OPEN,
Retired Questions,Total Circulation,TOTCIR_INPUT,
Retired Questions,600.1 Number of Other Programs,OTHPRO,
Retired Questions,603.1 Attendance at all other programs,OTHATTEN,
Retired Questions,Expenditures Audiovisual Materials - Physical Units,AUDVISEXP,
Retired Questions,458 Licensed Databases paid by other cooperative agreements (or consortia),DB_OTH,
Covid,Closed Outlets Due to COVID-19,C19CLOSE,
Covid,Public Services During COVID-19,C19PUBSV,
Covid,Electronic Library Cards Issued During COVID-19,C19ECRD2,
Covid,Reference Service During COVID-19,C19REFER,
Covid,Outside Service During COVID-19,C19OUTSD,
Covid,External WiFi Access Added During COVID-19,C19XWIF2,
Covid,External WiFi Access Increased During COVID-19,C19XWIF3,
Covid,Staff Re-Assigned During COVID-19,C19STOTH,
Retired In 2020,Electronic Materials Added Due to COVID-19,C19ELMAT,
Retired In 2020,Electronic Library Cards Issued Before COVID-19,C19ECRD1,
Retired In 2020,Live Virtual Programs During COVID-19,C19LIVEP,
Retired In 2020,Recordings of Program Content During COVID-19,C19RECDP,
Retired In 2020,External WiFi Access Before COVID-19,C19XWIF1,
Virtual Programing,Total Number of Live Virtual Programs,TOT_NUM_VIRTUAL_PRO,
Virtual Programing,Total Number of Live Virtual Children's Programs,TOT_NUM_VIRTUAL_CHPRO,
Virtual Programing,Total Number of Live Virtual Young Adult Programs,TOT_NUM_VIRTUAL_YAPRO,
Virtual Programing,Total Live Virtual Attendance,TOT_VIRTUAL_ATTEND,
Virtual Programing,Attendance at Live Virtual Childrens Programs,VIRTUAL_CHPRO_ATTEND,
Virtual Programing,Attendance at Live Virtual Young Adult Programs,VIRTUAL_YAPRO_ATTEND,
Virtual Programing,Total Recordings of Program Content,PROG_RECORDING,
Virtual Programing,Total Views of Recorded Program Content,PROG_RECORDING_VIEWS,
Virtual Programing,Total On-Demand Views of Live Virtual Programs,PROG_RECORDING_ONDEMAND,
Retired 2024,Local/Other cooperative agreements,EC_LO_OT,
Retired 2024,Electronic Books (e-Books),EBOOK,
Retired 2024,Audio Materials - Downloadable Titles,AUDIO_DL,
Retired 2024,Video Materials - Downloadable Titles,VIDEO_DL,
Electronic Collections,State (state government or state library),EC_ST,
Electronic Collections,Total Electronic Collections,ELECCOLL,1
Current Serial Subscriptions,Number of Current Print Serial Subscriptions,SUBSCRIP,
Webplus,Maintenance of Effort,MNT_EFRT,
Webplus,Tax Rate,TAX_RATE,
Webplus,Status of AE record current to prior year,STATSTRU,1
Webplus,Status of LIBNAME current to prior year,STATNAME,
Webplus,Status of ADDRESS current to prior year,STATADDR,
Webplus,User defined ID. used to link two or more AEs together.,LINKID,
Webplus,Old FSCSKEY,OLDID,
Webplus,Interlibrary Relationship Code,C_RELATN,
Webplus,Legal Basis Code,C_LEGBAS,
Webplus,Administrative Structure Code,C_ADMIN,
Webplus,FSCS Public Library Definition,C_FSCS,
Webplus,Geographic Code,GEOCODE,
Webplus,Legal Service Area Boundary Change,LSABOUND,
Delete,Audio Materials - Downloadable Titles-DELETE,AUDIO_DL_DELETE,
Identification,State,STABR,1
